name,region,serial,rom_name,rom_size,rom_crc,rom_md5,rom_sha1,rom_serial,quantity
09 Chairs (Japan),Japan,SCLX-2004-(8848),,,,,,,0
"18 Wheeler - American Pro Trucker (Europe) (En,Fr,De,Es)",Europe,MK-51064-50,,,,,,,0
18 Wheeler - American Pro Trucker (Japan),Japan,HDR-0080,,,,,,,0
18 Wheeler - American Pro Trucker (USA),USA,51064,,,,,,,0
21 - Two One (Japan),Japan,T-46504M,,,,,,,0
"4 Wheel Thunder (Europe) (En,Fr)",Europe,952-0063-50,,,,,,,0
"4 Wheel Thunder (Europe) (En,Fr)",Europe,T-9706D-50,,,,,,,0
4 Wheel Thunder (USA),USA,T-9708N,,,,,,,0
4x4 Evo (USA),USA,T-41903N,,,,,,,0
"90 Minutes - Sega Championship Football (Europe) (En,Fr,De,Es,It)",Europe,MK-51190-50,,,,,,,0
AM2 of CRI 2001 New Lineup Movie Collection (Japan),Japan,610-8018,,,,,,,0
Action Replay CDX - Demo Version (UK),,,,,,,,,0
Action Replay CDX Version 3.0 (France),France,HDR-0030,,,,,,,0
Advanced Daisenryaku - Sturm ueber Europa - Der Deutsche Blitzkrieg (Japan),Japan,HDR-0066,,,,,,,0
Advanced Daisenryaku 2001 (Japan),Japan,HDR-0158,,,,,,,0
Aero Dancing - Todoroki Taichou no Himitsu Disc (Japan),Japan,T-6803M,,,,,,,0
Aero Dancing F (Japan),Japan,T-6804M,,,,,,,0
Aero Dancing F (Japan) (Rev A),Japan,T-6808M,,,,,,,0
Aero Dancing F (Japan) (Taikenban),Japan,610-7740,,,,,,,0
Aero Dancing F - Todoroki Tsubasa no Hatsu Hikou (Japan),Japan,T-6805M,,,,,,,0
Aero Dancing featuring Blue Impulse (Japan),Japan,T-6802M,,,,,,,0
Aero Dancing featuring Blue Impulse (Japan) (Tentou Taikenban),Japan,610-7106,,,,,,,0
Aero Dancing i (Japan),Japan,T-6807M,,,,,,,0
Aero Dancing i - Jikai Saku made Matemasen (Japan),Japan,T-6809M,,,,,,,0
Aero to Jet de Dancing! (Japan) (Taikenban Disc),Japan,610-8017,,,,,,,0
"AeroWings (Europe) (En,Fr,De)",Europe,T-40202D-50,,,,,,,0
AeroWings (USA),USA,T-40201N,,,,,,,0
"AeroWings 2 - Airstrike (Europe) (En,De)",Europe,T-40209D-50,,,,,,,0
AeroWings 2 - Airstrike (USA),USA,T-40210N,,,,,,,0
After... Wasureenu Kizuna (Japan),Japan,T-18705M,,,,,,,0
After... Wasureenu Kizuna (Japan),Japan,T-18706M,,,,,,,0
Aikagi - Hidamari to Kanojo no Heyagi (Japan),Japan,T-20131M,,,,,,,0
Air (Japan) (Rev A),Japan,T-20112M,,,,,,,0
AirForce Delta (Japan),Japan,T-9502M,,,,,,,0
AirForce Delta (USA),USA,T-9501N,,,,,,,0
Akihabara Dennou-gumi Pata Pies! (Japan),Japan,HDR-0019,,,,,,,0
Alice Dreams Tournament (USA) (Disc 1),USA,,,,,,,,0
Alice Dreams Tournament (USA) (Disc 2),USA,,,,,,,,0
"Alice Sisters (USA, Japan)",USA,,,,,,,,0
Alien Front Online (USA),USA,51171,,,,,,,0
Alone in the Dark - The New Nightmare (Europe) (Disc 1),Europe,T-15112D-05A,,,,,,,0
Alone in the Dark - The New Nightmare (Europe) (Disc 1),Europe,T-15112D-05A-0,,,,,,,0
Alone in the Dark - The New Nightmare (Europe) (Disc 2),Europe,T-15112D-05B,,,,,,,0
Alone in the Dark - The New Nightmare (Europe) (Disc 2),Europe,T-15112D-05B-1,,,,,,,0
Alone in the Dark - The New Nightmare (France) (Disc 1),France,T-15112D-09A,,,,,,,0
Alone in the Dark - The New Nightmare (France) (Disc 1),France,T-15112D-09A-0,,,,,,,0
Alone in the Dark - The New Nightmare (France) (Disc 2),France,T-15112D-09B,,,,,,,0
Alone in the Dark - The New Nightmare (France) (Disc 2),France,T-15112D-09B-1,,,,,,,0
"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 1)",Germany,T-15112D-18A,,,,,,,0
"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 1)",Germany,T-15112D-18A-0,,,,,,,0
"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 2)",Germany,T-15112D-18B,,,,,,,0
"Alone in the Dark - The New Nightmare (Germany) (En,De) (Disc 2)",Germany,T-15112D-18B-1,,,,,,,0
Alone in the Dark - The New Nightmare (USA) (Disc 1),USA,T-15117N,,,,,,,0
Alone in the Dark - The New Nightmare (USA) (Disc 1),USA,T-15117N-0,,,,,,,0
Alone in the Dark - The New Nightmare (USA) (Disc 2),USA,T-15117N,,,,,,,0
Alone in the Dark - The New Nightmare (USA) (Disc 2),USA,T-15117N-1,,,,,,,0
Angel Present (Japan),Japan,T-20107M,,,,,,,0
Angel Wish - Kimi no Egao ni Chu! (Japan),Japan,T-18712M,,,,,,,0
Animastar (Japan),Japan,T-34101M,,,,,,,0
Ao no 6-gou - Saigetsu Hito o Matazu - Time and Tide (Japan),Japan,HDR-0075,,,,,,,0
"Aqua GT (Europe) (En,Fr,De)",Europe,T-40509D50,,,,,,,0
Armada (USA),USA,T-40301N,,,,,,,0
"Army Men - Sarge's Heroes (Europe) (En,Fr,De,Es,It)",Europe,T-9708D-50,,,,,,,0
Army Men - Sarge's Heroes (USA),USA,T-9715N,,,,,,,0
Atari Anniversary Edition (USA),USA,T-15130N,,,,,,,0
Atsumare! Guru Guru Onsen (Japan),Japan,HDR-0015,,,,,,,0
Atsumare! Guru Guru Onsen (Japan) (Demo 1),Japan,610-7187,,,,,,,0
Atsumare! Guru Guru Onsen (Japan) (Demo 2),Japan,610-7351,,,,,,,0
Atsumare! Guru Guru Onsen BB (Japan),Japan,HDR-0121,,,,,,,0
Atsumare! Guru Guru Onsen BB (Japan) (Rev A),Japan,HDR-0121,,,,,,,0
