SET,#,COST,NAME,TYPE,INK,RARITY,STR,WILL,LORE,MOVE COST,CLASSIFICATIONS,ABILITY,FRANCHISE,FLAVOR TEXT,ILLUSTRATORS,QUANTITY
ARI,041,1,Amber Coil,Item,Amber,Uncommon,,,,,,"HEALING AURA During your turn, whenever a card is put into your inkwell, you may remove up to 2 damage from chosen character.",Lorcana,Martin smiled as the coil snapped into place and he felt a surge of healing energy.,Francesco Colucci,0
ARI,014,3,Aurora - Waking Beauty,Character,Amber,Legendary,1,4,2,,Storyborn · Hero · Princess,"Singer 5 SWEET DREAMS Whenever you remove 1 or more damage from a character, ready this character. She can't quest or challenge for the rest of this turn.",Sleeping Beauty,,Lisanne Koeteeuw,0
ARI,018,4,Bolt - Dependable Friend,Character,Amber,Common,2,4,2,,Storyborn · Hero,Support,Bolt,"""Super dog versus super log! This is AWESOME!"" - Rhino",Ellie Horie,0
ARI,004,5,Bolt - Superdog,Character,Dual Ink,Super Rare,3,5,2,,Floodborn · Hero,"Shift 3 ⬡ MARK OF POWER Whenever you ready this character, gain 1 lore for each other undamaged character you have in play.   BOLT STARE Exert - Banish chosen Illusion character.",Bolt,,John Loren / Nicholas Kole,0
ARI,036,3,Calhoun - Battle-Tested,Character,Amber,Common,2,4,1,,Dreamborn · Hero · Racer,"TACTICAL ADVANTAGE When you play this character, you may choose and discard a card to give chosen opposing character -3 STR until the start of your next turn.",Wreck-It Ralph,"""Preparation and luck–you can only rely on one to win a fight!""",Alice Pisoni,0
ARI,026,6,Calhoun - Courageous Rescuer,Character,Dual Ink,Rare,5,5,2,,Floodborn · Hero · Racer,"Shift 4 ⬡ BACK TO START POSITIONS! Whenever this character challenges another character, you may return a Racer character card from your discard to your hand.",Wreck-It Ralph,,Alice Pisoni,0
ARI,017,2,Candlehead - Dedicated Racer,Character,Amber,Common,2,2,1,,Storyborn · Ally · Racer,"WINNING ISN'T EVERYTHING When this character is banished, you may remove up to 2 damage from chosen character.",Wreck-It Ralph,,Kapik,0
ARI,015,4,Cinderella - The Right One,Character,Amber,Rare,2,4,2,,Storyborn · Hero · Princess,"IF THE SLIPPER FITS When you play this character, you may put an item card named The Glass Slipper from your discard on the bottom of your deck to gain 3 lore.",Cinderella,"""But, you see, I have the other slipper.""",Tania Soler,0
ARI,022,5,"Fix-It Felix, Jr. - Pint-Sized Hero",Character,Dual Ink,Uncommon,4,4,2,,Storyborn · Hero · Racer,"LET'S GET TO WORK Whenever you return a Racer character card from your discard to your hand, you may ready chosen Racer character. They can't quest for the rest of this turn.",Wreck-It Ralph,"""A trap is just a puzzle that's not very friendly.""",Stefano Spagnuolo,0
ARI,025,5,Isabela Madrigal - In the Moment,Character,Amber,Rare,3,3,4,,Storyborn · Ally · Madrigal,"I'M TIRED OF PERFECT Whenever one of your characters sings a song, this character can't be challenged until the start of your next turn.",Encanto,"""I just made something unexpected. Something sharp, something new.""",César Vergara,0
