Langue,Extension,Code,Nom de la carte,Rareté,1st Edition,Unlimited,Limited / Autre,Quantité,N° Artwork,Reprint
Français (Canada),LDD,LDD-C062,Elfe Mystique,SR,,NM,,1,,
Français (Canada),LDD,LDD-C113,Dragon Inférieur,C,,NM,,1,,
Français (France),LDD,LDD-F005,Gardien Celte,SR,NM,,,1,,
Français (Canada),DDK,DDK-C015,Assaillant des Ténèbres,C,,NM,,1,,
Français (Canada),DDK,DDK-C034,Attaque en Double Fourche,C,,NM,,1,,
Français (Canada),DDK,DDK-C044,Maître des Pièges,C,,NM,,1,,
Français (Canada),DDK,DDK-C045,Sogen,C,,NM,,1,,
Français (France),DDK,DDK-F001,Dragon Blanc aux Yeux Bleus,U,,NM,,1,,
Français (France),DDK,DDK-F001,Dragon Blanc aux Yeux Bleus,U,,NM,,2,,
Français (France),DDK,DDK-F002,Ryu-Kishin,C,,NM,,1,,
Français (France),DDK,DDK-F003,Le Ver Malfaisant,C,NM,,,1,,
Français (France),DDK,DDK-F004,Boeuf de Combat,C,,NM,,1,,
Français (France),DDK,DDK-F005,Dragon Koumori,C,,NM,,1,,
Français (France),DDK,DDK-F006,Juge,C,,NM,,1,,
Français (France),DDK,DDK-F007,Poupée Brigande,C,,NM,,1,,
Français (France),DDK,DDK-F008,Kojikocy,C,NM,,,1,,
Français (France),DDK,DDK-F009,Uraby,C,,NM,,1,,
Français (France),DDK,DDK-F010,Gyakutenno Mégami,C,NM,,,1,,
Français (France),DDK,DDK-F011,Cavalier Mystique,C,,NM,,1,,
Français (France),DDK,DDK-F012,Terra le Terrible,C,,NM,,2,,
Français (France),DDK,DDK-F013,Titan Noir de la Terreur,C,,NM,,4,,
Français (France),DDK,DDK-F014,Assaillant des Ténèbres,C,,NM,,1,,
Français (France),DDK,DDK-F015,Maître et Expert,C,NM,,,1,,
Français (France),DDK,DDK-F016,Guerrier Inconnu du Démon,C,NM,,,1,,
Français (France),DDK,DDK-F017,Clown Mystique,C,NM,,,1,,
Français (France),DDK,DDK-F018,Ogre de l'Ombre Noire,C,,NM,,4,,
Français (France),DDK,DDK-F019,Énergie Sombre,C,NM,,,1,,
Français (France),DDK,DDK-F020,Fortification,C,NM,,,1,,
Français (France),DDK,DDK-F021,Trou Noir,C,,NM,,1,,
Français (France),DDK,DDK-F022,Ryu-Kishin le Puissant,C,NM,,,2,,
Français (France),DDK,DDK-F023,Spadassin Vengeur,C,,NM,,1,,
Français (France),DDK,DDK-F024,La Jinn le Génie Mystique de la Lampe,C,,NM,,6,,
Français (France),DDK,DDK-F025,Kaiser Insolent,C,,NM,,2,,
Français (France),DDK,DDK-F026,Golem Destructeur,C,,NM,,1,,
Français (France),DDK,DDK-F027,Oiseau au Crâne Rouge,C,,NM,,1,,
Français (France),DDK,DDK-F028,Humain des Ténèbres,C,,NM,,5,,
Français (France),DDK,DDK-F029,Fissure,C,,NM,,1,,
Français (France),DDK,DDK-F030,Trappe,C,,NM,,1,,
Français (France),DDK,DDK-F031,Attaque en Double Fourche,C,,NM,,2,,
Français (France),DDK,DDK-F032,Exorcisme,C,,NM,,1,,
Français (France),DDK,DDK-F032,Exorcisme,C,NM,,,1,,
Français (France),DDK,DDK-F033,Monster Reborn,C,,NM,,2,,
Français (France),DDK,DDK-F034,L'Espion Novice,C,,NM,,2,,
Français (France),DDK,DDK-F035,Renforts,C,,NM,,2,,
Français (France),DDK,DDK-F036,Télescope Ancien,C,,NM,,2,,
Français (France),DDK,DDK-F037,Desserts Seuls,C,,NM,,3,,
Français (France),DDK,DDK-F038,Seigneur des D,SR,NM,,,2,,
Français (France),DDK,DDK-F039,La Flûte d'Invocation du Dragon,SR,NM,,,2,,
Français (France),DDK,DDK-F040,Marionnettiste Mystérieux,C,,NM,,3,,
Français (France),DDK,DDK-F041,Maître des Pièges,C,NM,,,2,,
Français (France),DDK,DDK-F042,Sogen,C,NM,,,2,,
Français (France),DDK,DDK-F043,Piège Inversé,C,,NM,,2,,
Français (France),DDK,DDK-F044,Piège Supprimé,C,,NM,,2,,
Français (France),DDK,DDK-F045,Enceinte de Château,C,,NM,,3,,
Français (France),DDK,DDK-F046,Offrande Suprême,C,,NM,,1,,
Anglais (Europe),SDK,SDK-E001,Blue-Eyes White Dragon,U,NM,,,1,,
Français (France),DDY,DDY-F001,Elfe Mystique,C,,NM,,1,,
Français (France),DDY,DDY-F002,Lutin Sauvage,C,,NM,,1,,
Français (France),DDY,DDY-F003,"Dragon Ailé, Gardien de la Forteresse N°1",C,,NM,,1,,
Français (France),DDY,DDY-F004,Crâne Invoqué,C,,NM,,1,,
Français (France),DDY,DDY-F005,Magicien Sombre,U,,NM,,1,,
Français (France),DDY,DDY-F006,Gaïa le Chevalier Implacable,C,NM,,,2,,
Français (France),DDY,DDY-F007,Malédiction du Dragon,C,,NM,,2,,
Français (France),DDY,DDY-F008,Gardien Celte,C,,NM,,1,,
Français (France),DDY,DDY-F009,Grand Blanc,C,,NM,,4,,
Français (France),DDY,DDY-F010,Croc Argenté,C,,NM,,2,,
Français (France),DDY,DDY-F011,Soldat Géant de Pierre,C,,NM,,2,,
Français (France),DDY,DDY-F012,Dragon Zombie,C,,NM,,2,,
Français (France),DDY,DDY-F013,Doma l'Ange du Silence,C,,NM,,1,,
Français (France),DDY,DDY-F014,Ansatsu,C,,NM,,1,,
Français (France),DDY,DDY-F015,Fantôme Spirituel,C,,NM,,5,,
Français (France),DDY,DDY-F016,Pince Saisissante,C,,NM,,2,,
Français (France),DDY,DDY-F017,Clown Mystique,C,,NM,,4,,
Français (France),DDY,DDY-F018,Épée de la Noire Destruction,C,,NM,,1,,
Français (France),DDY,DDY-F019,Livre d'Arts Secrets,C,,NM,,3,,
Français (France),DDY,DDY-F020,Trou Noir,C,,NM,,3,,
Français (France),DDY,DDY-F021,Dian Keto le Maître Guérisseur,C,,NM,,1,,
Français (France),DDY,DDY-F022,Elfe Ancien,C,,NM,,2,,
Français (France),DDY,DDY-F023,Fantôme Magique,C,NM,,,1,,
Français (France),DDY,DDY-F024,Fissure,C,,NM,,3,,
Français (France),DDY,DDY-F025,Trappe,C,,NM,,1,,
